outcome,twfe_coef,twfe_se,cs_att,cs_se
Self-employment share,0.12540967619969226,0.28239444480806963,-0.13652288997010342,0.3516990994982593
Employment rate,0.8413834335541499,0.31632428983641897,0.6830217274903502,0.4208410129655747
Economic activity rate,NA,NA,0.3747250844812737,0.4056967693511382
