lb,ub,method,Delta,M
-0.847654956805273,0.5127057410182462,FLCI,DeltaSD,0
-1.4721015226346383,0.6961838003695615,FLCI,DeltaSD,0.1
-1.909331524387521,1.0754893111047956,FLCI,DeltaSD,0.2
-2.319808098239214,1.4029042204862807,FLCI,DeltaSD,0.30000000000000004
-2.6811346218870917,1.6830895822886034,FLCI,DeltaSD,0.4
-3.0185672905158154,1.8968389949068487,FLCI,DeltaSD,0.5
