specification,estimate,se
Main CS ATT,-0.13652288997010342,0.3516990994982593
TWFE with region × year FE,0.0871651179586003,0.28733044369664784
CS excl. London,-0.024669345750061262,0.41419411516880456
CS England only,-0.45184225851238746,0.43803733970758024
CS exact matches only,-0.13630526646104502,0.36006488841079937
Placebo (fake 2014),0.14226828057418306,0.3063523000114018
