treated,untreated,estimate,weight,type
2017,2018,0.07660942425802676,0.47640973450453034,Earlier vs Later Treated
2016,2018,0.33332693292378324,0.20583556473366466,Earlier vs Later Treated
2018,2017,0.0434233449476952,0.1361170670012944,Later vs Earlier Treated
2016,2017,-0.27713961010586596,0.07535051923285942,Earlier vs Later Treated
2018,2016,0.22707373271886414,0.06861185491122156,Later vs Earlier Treated
2017,2016,-0.3784072034269125,0.0376752596164297,Later vs Earlier Treated
