rel_time,att,se,ci_lower,ci_upper
-84,264.82162162162166,268.7517048518129,-261.9317198879316,791.5749631311749
-83,361.8432432432432,288.32967832864944,-203.28292628090963,926.9694127673961
-82,340.7945945945946,284.3151510709265,-216.46310150442127,898.0522906936105
-81,343.10360360360363,235.23922109175336,-117.96526973623298,804.1724769434402
-80,329.20270270270277,240.5979659377289,-142.36931053524586,800.7747159406514
-79,334.9234234234235,234.68437336595767,-125.05794837385349,794.9047952207005
-78,44.861486486486655,423.6278292747114,-785.4490588919476,875.172031864921
-77,-1.1993243243241238,433.5485864818544,-850.9545538287588,848.5559051801105
-76,21.263513513513516,424.3087202999606,-810.3815782744092,852.9086053014363
-75,12.412162162162389,448.9544777869768,-867.538614300312,892.3629386246369
-74,10.679054054054035,411.164941277689,-795.2042308502164,816.5623389583245
-73,32.04054054054055,406.94662525501724,-765.5748449592933,829.6559260403743
-72,-13.192567567567522,484.26518718264776,-962.3523344455571,935.9671993104221
-71,76.70270270270291,384.57000063142067,-677.0544985348815,830.4599039402874
-70,67.5585585585586,366.4414452033142,-650.6666740399371,785.7837911570543
-69,35.42042042042044,417.64398702645946,-783.1617941514401,854.002634992281
-68,34.48348348348361,414.30083527715664,-777.5461536597434,846.5131206267106
-67,78.7627627627627,366.3425997073551,-639.2687326636533,796.7942581891787
-66,66.2383292383293,346.5146382780994,-612.9303617867456,745.4070202634041
-65,102.3562653562654,300.5865395137416,-486.7933520906682,691.505882803199
-64,78.77395577395586,326.14399043186415,-560.4682654724978,718.0161770204096
-63,32.683046683046825,339.5310071325108,-632.7977272966743,698.1638206627681
-62,72.32923832923844,334.9133334237369,-584.1008951812859,728.7593718397628
-61,53.50614250614241,315.07102858929505,-564.0330735288759,671.0453585411607
-60,110.90765765765761,299.804842011183,-476.70983268426096,698.5251479995762
-59,63.88288288288304,258.08520555756405,-441.96412000994246,569.7298857757086
-58,85.37162162162166,325.24114620098504,-552.101024932309,722.8442681755523
-57,153.20045045045055,334.6165355342947,-502.6479591967671,809.0488600976682
-56,93.57657657657671,316.3831138659574,-526.5343266006997,713.6874797538532
-55,-10.621621621621664,279.3284670626712,-558.1054170644572,536.8621738212139
-54,-259.60585585585596,296.7790432328314,-841.2927805922054,322.08106888049355
-53,-137.00900900900908,281.6369031441428,-689.017339171529,414.9993211535108
-52,-170.80630630630623,347.2280176725863,-851.3732209445755,509.76060833196294
-51,-286.06756756756783,519.1791754907077,-1303.658751529355,731.5236163942193
-50,-104.62612612612607,300.5937943239522,-693.7899630010724,484.5377107488202
-49,15.576576576576585,200.89563897339002,-378.17887581126786,409.33202896442106
-48,145.89639639639626,305.6807107135034,-453.23779660207043,745.030589394863
-47,89.40540540540528,167.93294902360168,-239.74317468085403,418.55398549166455
-46,8.259009009008938,108.37337432462412,-204.15280466725434,220.6708226852722
-45,-127.93468468468488,134.13893509428053,-390.84699746947473,134.97762810010494
-44,-30.14189189189203,134.520114639583,-293.8013165854747,233.5175328016906
-43,-122.84909909909918,179.53106845427973,-474.72999326948747,229.03179507128908
-42,121.82657657657657,220.79140025177986,-310.924567916912,554.5777210700651
-41,-150.94144144144124,132.66630533408673,-410.9673998962512,109.08451701336875
-40,124.86036036036047,145.17591948758795,-159.68444183531193,409.40516255603285
-39,136.33333333333337,146.13315515419058,-150.08765076888017,422.7543174355469
-38,181.9617117117118,189.47436146182304,-189.40803675346132,553.331460176885
-37,126.77927927927928,149.09243327359286,-165.44188993696272,419.00044849552125
-36,25.90540540540549,159.92127456265044,-287.5402927373894,339.35110354820034
-35,24.13963963963971,112.90588671012934,-197.1558983122138,245.43517759149321
-34,109.25225225225233,115.08189817172716,-116.3082681643329,334.81277266883757
-33,85.47297297297304,112.82645299618639,-135.66687489955228,306.61282084549833
-32,141.53828828828836,162.32030508818147,-176.60950968454733,459.68608626112405
-31,6.581081081081141,117.0322583217226,-222.80214522949512,235.96430739165743
-30,38.22747747747755,105.10871787207917,-167.78560955179762,244.24056450675272
-29,-16.067567567567536,104.99802809724368,-221.86370263816514,189.7285675030301
-28,-22.315315315315253,96.43135549634418,-211.32077208814985,166.69014145751936
-27,75.78153153153153,154.13671477161375,-226.3264294208314,377.88949248389446
-26,50.97747747747752,117.73169917233056,-179.77665290029037,281.73160785524544
-25,11.770270270270359,96.66728009456332,-177.69759871507375,201.2381392556145
