multiplier,bandwidth,coef,se,p_value,ci_lower,ci_upper,n_eff
0.5,16.456891838553,0.872135599217079,2.47673763205527,0.724740172122252,-3.98218095876627,5.72645215720043,43
0.75,24.6853377578295,0.702786648937899,1.57338183667515,0.65511142533724,-2.38098508487487,3.78655838275067,74
1,32.913783677106,-0.366771512648254,1.10806599774671,0.740643348915239,-2.53854096072525,1.80499793542874,86
1.25,41.1422295963824,-0.896769807135479,0.914892464481457,0.326991604865124,-2.68992608724623,0.896386472975267,97
1.5,49.3706755156589,-1.09324876284578,0.778632113847463,0.160300005657218,-2.61933966319309,0.432842137501543,109
2,65.8275673542119,-1.01569155768559,0.641754601470274,0.113494637592209,-2.27350746348018,0.242124348109005,129
