Specification,ATT,SE,CI_lower,CI_upper,N
TWFE excl. 2020-2021,-0.4067934515566369,1.5904427494030842,-3.524061240386682,2.710474337273408,1062
TWFE + COVID death rate,0.27393875782104005,1.9291926074374237,-3.5072787527563105,4.055156268398391,1157
CS-DiD excl. 2020-2021,0.3367023996549058,1.3507422328676304,-2.3107523767656497,2.9841571760754615,NA
CS-DiD (log mortality),0.07112348575420657,0.09592530657893476,-0.11689011514050557,0.2591370866489187,NA
